VARIABLE,PARAM
(Intercept),-9.15918
o_imean,0.004088
i_prop,-11.5658
l_imean,-0.02454
lh50,-0.12704
fvege,-5.95655
limean,-0.0137
fhr_30_95,-1.14078
fl_95_70_99,-3.10796
density4,-2.14977
a_grn,0.001585
a_blu_nir,-8.14749
wt_min,0.65745
wt_max,0.206924
utmeast,-5.7E-06
mean_36m_97,-0.00465
tmin_sm,0.873763
rad_sp,-0.82793
dd_0_wt,0.00128
dd5_wt,-0.10002
dd18_at,-0.4259
cmd_at,0.00368
rh_sp,-0.00545
td,1.240637
msp,-0.00329
mar,-0.06555
tr_ka_18m_100m_11_kaspcdir_across,-0.10752
tr_ka_36m_1200m_67_kaspcdir_uphill,0.195689
tr_ka_36m_2000m_111_kaspcdir_uphill,0.572566
tr_ka_36m_2000m_111_kaspdir_across,-0.00211
tr_ka_18m_200m_23_kaspdir_downhill,0.001933
tr_ka_18m_400m_45_kaspdir_downhill,-0.00302
tr_ka_36m_2000m_111_kaspdir_downhill,-0.00139
tr_ka_18m_100m_11_kaspsdir_across,-0.30624
tr_ka_18m_100m_11_kaspsdir_uphill,-0.15116
tr_ka_18m_50m_5_kaspsdir_uphill,0.19862
tr_ka_36m_1600m_89_kaspsdir_uphill,-0.29236
tr_ka_36m_2000m_111_kaspsdir_uphill,-0.05025
tr_ka_18m_50m_5_kaspslpcdir_across,0.386666
tr_ka_36m_1600m_89_kaspslpcdir_across,-1.30592
tr_ka_18m_50m_5_kaspslpcdir_downhill,-0.56556
tr_ka_36m_1600m_89_kaspslpele2cdir_across,-1.2E-06
tr_ka_18m_50m_5_kaspslpele2sdir_uphill,-1.8E-07
tr_ka_36m_1200m_67_kaspslplneleslpcdir_uphill,0.057233
tr_ka_36m_1600m_89_kaspslplnele_uphill,-0.21536
tr_ka_36m_2000m_111_kaspslpsdir_across,-0.12334
tr_ka_18m_200m_23_kaspslpsdir_uphill,-0.05123
