MYID,id_l2,id_l1,shape_area,AC1,AC2,AC1N,AC2N,ALC_3,o_imean,f_hstd,i_hstd,i_prop,l_hmean,l_imean,fh20,lh80,lh50,hawi95,hawi5,fvege,fhmean,lhmean,limean,fhr_80_99,fhr_30_95,fl_95_95_99,fl_95_70_99,fl_95_60_99,height_d2,density4,fd40,fd20,fd1,m_ndvi,m_red_nir,a_red,a_grn,a_nir,a_ndvi,a_red_grn,a_blu_nir,aspect_std,slope_std,slope_max,wt_min,wt_max,utmnorth,utmeast,tr_te_tpi_18,sd_18m_101,sd_36m_87,mean_36m_97,mean_36m_111,tr_tp_6m_125m_41_mean_diff,tr_tp_6m_175m_59_sd,tmin_wt,tmin_sm,tave_wt,rad_sp,dd_0_wt,dd5_wt,dd18_at,nffd_at,cmd_sp,cmd_sm,cmd_at,rh_sp,td,msp,effp,cmd,mar,tr_ka_18m_100m_11_kaspcdir_across,tr_ka_18m_50m_5_kaspcdir_across,tr_ka_18m_200m_23_kaspcdir_downhill,tr_ka_36m_1200m_67_kaspcdir_downhill,tr_ka_36m_800m_45_kaspcdir_downhill,tr_ka_36m_1200m_67_kaspcdir_uphill,tr_ka_36m_2000m_111_kaspcdir_uphill,tr_ka_18m_400m_45_kaspdir_across,tr_ka_36m_2000m_111_kaspdir_across,tr_ka_18m_200m_23_kaspdir_downhill,tr_ka_18m_400m_45_kaspdir_downhill,tr_ka_36m_2000m_111_kaspdir_downhill,tr_ka_36m_400m_23_kaspdir_downhill,tr_ka_36m_1600m_89_kaspdir_uphill,tr_ka_36m_800m_45_kaspdir_uphill,tr_ka_18m_100m_11_kaspsdir_across,tr_ka_36m_2000m_111_kaspsdir_across,tr_ka_18m_200m_23_kaspsdir_downhill,tr_ka_36m_2000m_111_kaspsdir_downhill,tr_ka_18m_100m_11_kaspsdir_uphill,tr_ka_18m_200m_23_kaspsdir_uphill,tr_ka_18m_50m_5_kaspsdir_uphill,tr_ka_36m_1600m_89_kaspsdir_uphill,tr_ka_36m_2000m_111_kaspsdir_uphill,tr_ka_18m_50m_5_kaspslpcdir_across,tr_ka_36m_1600m_89_kaspslpcdir_across,tr_ka_18m_400m_45_kaspslpcdir_downhill,tr_ka_18m_50m_5_kaspslpcdir_downhill,tr_ka_36m_1600m_89_kaspslpcdir_downhill,tr_ka_36m_800m_45_kaspslpcdir_downhill,tr_ka_36m_1200m_67_kaspslpele2cdir_across,tr_ka_36m_1600m_89_kaspslpele2cdir_across,tr_ka_18m_100m_11_kaspslpele2cdir_uphill,tr_ka_18m_100m_11_kaspslpele2sdir_across,tr_ka_36m_1200m_67_kaspslpele2sdir_downhill,tr_ka_18m_50m_5_kaspslpele2sdir_uphill,tr_ka_36m_800m_45_kaspslplneleslpcdir_across,tr_ka_36m_1200m_67_kaspslplneleslpcdir_uphill,tr_ka_36m_800m_45_kaspslplneleslpsdir_across,tr_ka_18m_200m_23_kaspslplneleslpsdir_uphill,tr_ka_36m_1600m_89_kaspslplneleslpsdir_uphill,tr_ka_36m_2000m_111_kaspslplneleslpsdir_uphill,tr_ka_36m_400m_23_kaspslplneleslpsdir_uphill,tr_ka_36m_1600m_89_kaspslplnele_uphill,tr_ka_36m_1200m_67_kaspslpsdir_across,tr_ka_36m_2000m_111_kaspslpsdir_across,tr_ka_18m_200m_23_kaspslpsdir_uphill,tr_ka_36m_800m_45_kaspslpsdir_uphill,tr_ka_18m_200m_23_kaspslp_downhill,V_P,NV_P,WT_P,MAX_PC1,PC1O,FNF_PO,PC2O,HF_PO,HG_PO,SC_PO,SO_PO,MVALO,PC3O
1,1006261,100918,324,1,2,V,NF,NA,29.289231,0,0,0,0,0,0,0.11,0.04,0,0,0,0,0,0,0.392857,0.047619,0.142857,0.464286,0.535714,0,0,0.787692,0.64,0.347692,0,0,0,0,0,0,0,0,46.36,0.73,4.2,0,4,5707420,616096,-0.029635,53.641266,60.511839,-98.666274,-104.234648,-1.364089,10.157864,-16.1,4.8,-10.7,17.1,981,3,1,23,0,24,0,57,24.2,405,242,24,13.1,0.55582,0.777351,-1,-0.910366,-0.93445,0.681354,0.097252,253.062255,248.428723,-180,-202.249023,-199.983106,-201.655924,-83.036141,-278.717546,0.828758,0.929853,0,-0.341743,0.828758,0.971928,0.894427,0.992564,0.995221,0.023461,0.027321,-0.027632,-0.035154,-0.019321,-0.020085,78900.46608,77435.43448,134173.2461,142724.976,-20363.98437,104464.0824,0.006134,0.058888,-0.03374,0.25156,0.139288,0.207946,0.071756,-1.021018,-0.035848,0.052664,0.181361,-0.257685,0.049363,0.293734648,0.494734658,0.035496012,0.494734658,NV,NA,NA,NA,NA,NA,NA,NA,NA
2,1024130,103331,324,1,1,V,F,NA,21.963636,12.94763,13.015847,0.02521,1.701974,11.447368,0.35,10.84,0.55,31,6,0.60084,10.456503,10.666744,15.639535,0.661662,0.029318,0.145308,0.511528,0.804826,0.1875,0.067227,0.718487,0.584034,0.231092,0.41708,0.411353,481.536639,611.470523,1015.468871,0.356667,0.787506,0.617898,10.16,1.48,17.26,0,0,5703669,614761,0.195798,55.577412,65.624955,-24.591097,-27.053586,0.163234,15.513539,-16.5,4.4,-11.3,17.1,1026,2,1,21,0,5,0,58,23.9,434,240,5,13.1,0.37139,0.447213,-0.341743,-0.696145,-0.756823,0.97185,-0.606913,153.434948,305.340106,-109.983106,-167.195733,-245.556045,-164.744881,-141.499346,-344.744881,-0.928476,0.815732,0.939793,-0.910366,-0.707106,-0.672672,-0.894427,0.622523,0.794767,0.070235,0.044097,-0.150634,0,-0.034176,-0.049383,85097.27613,149338.3121,256078.4938,-423821.0411,-115034.4892,-495552.1426,0.058517,0.110808,-0.013299,-0.080531,0.030644,0.041312,-0.13612,-0.608335,0.024366,0.038385,-0.084882,-0.048174,0.187582,49.4836451,0.159693734,0.613898497,49.4836451,V,0.00417487,F,NA,NA,NA,NA,NA,NA
3,1030238,104123,324,1,1,V,F,NA,26.681818,20.292799,10.652122,0.051724,1.570536,11.642857,0.16,8.13,0.2,30,6,0.62069,10.499028,12.039667,15.6,0.7084,0.016603,0.143392,0.82076,0.82397,0.123596,0.112069,0.732759,0.612069,0.37069,0.475128,0.355815,564.668493,700.254795,1412.345205,0.428766,0.806376,0.471882,100.99,2.2,16.25,0,0,5705109,616363,-0.212395,39.681262,53.74871,-19.154635,-21.951686,-7.264912,23.086634,-16.3,4.6,-11,17.1,1003,2,1,22,0,14,0,58,24.1,421,241,14,13.1,0.857492,0.707106,-0.773957,-1,-0.998968,0,0.857492,187.765166,284.281095,-140.710593,-164.744881,-175.840357,-160.016893,-86.099506,-225,0.514495,0.969097,0.633237,0.072535,0.707106,0.478852,0.707106,0.997683,0.514495,0.104167,0.006486,-0.139882,-0.21081,-0.053291,-0.086497,-27542.87234,20430.04033,579349.2794,283431.9053,0,439962.0188,-0.008021,0,0.025211,0.302749,0.100656,0.030234,0.088537,-0.868788,0.048098,0.057099,0.139208,-0.044111,0.155926,60.9315191,1.46319655,1.809290622,60.9315191,V,0.007351512,F,NA,NA,NA,NA,NA,NA
4,1053782,107529,324,1,1,V,F,NA,34.016181,20.044382,11.706997,0.06,2.291554,15.013514,0.38,11.42,0.5,45,10,0.557778,12.252709,13.092857,24.228571,0.583229,0.023859,0.181971,0.708595,0.784486,0.1376,0.155556,0.744444,0.622222,0.233333,0.45299,0.376472,405.507921,544.538944,937.956766,0.396325,0.744681,0.606113,157.16,5.24,28.72,0,0,5709231,617785,0.217326,54.936506,63.657683,28.726767,28.902851,-0.114408,20.884498,-16.2,4.7,-10.8,17.2,983,3,1,23,0,18,0,57,24.2,417,241,18,13.2,0.928476,1,-0.536875,-1,-0.952925,0.843661,0.916539,252.349875,204.443954,-237.528807,-252.349875,-213.929797,-254.744881,-26.565051,-37.69424,0.37139,0.413802,-0.843661,-0.558176,0.196116,0.263117,0,0.447213,0.399944,0.35172,0.059997,-0.035262,-0.3426,-0.077901,-0.131868,202970.6092,184205.7684,804340.7939,270510.9897,0,0,0.051649,0.033211,-0.014086,0.124031,0.011721,0.01135,0.090622,-0.442449,0.036059,0.024408,0.066093,0.057683,0.133972,21.20322553,9.594145762,1.365386857,21.20322553,V,0.003673038,F,NA,NA,NA,NA,NA,NA
5,1091125,112595,324,1,1,V,F,NA,31.551084,10.227541,6.231477,0.075125,0.585811,14.054054,0,5.38,0,36,7,0.659432,11.886152,11.903217,24.195804,0.8,0.00507,0.130973,0.925664,0.930973,0.090426,0.096828,0.671119,0.539232,0.36394,0.388219,0.440695,625.651128,723.493985,1369.457895,0.372815,0.864763,0.507132,16.39,1.35,16.71,0,0,5709356,617690,0.817743,60.79756,62.180683,40.767249,39.152044,3.290357,18.703739,-16.2,4.7,-10.8,17.2,984,3,1,23,0,18,0,57,24.2,419,241,18,13.2,-0.196116,0,0.022633,-0.995103,-0.992095,0.891684,0.935612,272.602562,200.6691,-271.298607,-272.602562,-216.196243,-270,-24.171857,-33.832955,0.98058,0.352961,-0.998973,-0.590545,0.98058,0.979093,1,0.409461,0.352961,0,0.064149,0.005754,0.114453,-0.074528,-0.17376,234975.8817,198752.6776,120403.1087,669734.1293,-38046.28393,686214.1928,0.100181,0.030899,-0.012514,0.367896,0.010792,0.008409,0.015547,-0.443432,0.036161,0.017341,0.219361,0.053695,0.18379,34.70922911,0.373013333,1.218329956,34.70922911,V,0.001842032,F,NA,NA,NA,NA,NA,NA
6,1115194,115826,324,1,1,V,F,NA,34.55,10.832053,7.514595,0.083333,1.069903,15.165049,0,11.35,0,41,8,0.666667,11.984875,12.343194,24.138889,0.817109,0.003147,0.100295,0.922714,0.934513,0.112948,0.116667,0.666667,0.529167,0.354167,0.456236,0.373404,526.73,664.418125,1317.935625,0.428915,0.792769,0.480852,17.17,2.28,10.19,0,0,5704659,620971,0.170625,26.253754,38.641965,19.058727,19.883362,4.10601,9.110005,-16.2,4.8,-10.8,17.1,990,3,1,23,0,21,0,57,24.1,407,242,21,13.2,0.37139,0.894427,-0.090535,-0.518301,-0.588171,0.983869,0.385806,208.610459,214.640947,-264.805571,-243.434948,-216.702855,-245.556045,-70.016893,0,0.928476,0.568431,-0.995893,-0.597665,0.707106,0.341743,0.447213,0.939793,0.922579,0.086436,0.022497,-0.045562,-0.081371,-0.029934,-0.039112,57481.47331,68953.90985,59272.75051,303664.28,-170975.4426,105560.1896,0.004662,0.018334,0.002119,0.005714,0.013717,0.010796,-0.002922,-0.330149,0.032573,0.020972,0.01617,0,0.160422,115.7319227,0.246724533,0.833673904,115.7319227,V,0.001592247,F,NA,NA,NA,NA,NA,NA
7,1163152,122269,449,2,3,NV,NA,NA,15.68,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.333333,0,0.222222,0.444444,0.555556,0,0,0.84,0.733333,0.536667,0,0,0,0,0,0,0,0,102.82,0.16,0.76,1,1,5708025,622537,-0.007013,25.719949,37.432595,-2.807649,-6.144969,-0.335779,3.378773,-15.9,5,-10.5,17.3,958,3,1,24,2,40,0,57,24.3,389,243,42,13.4,0.37139,-0.894427,-0.707106,-0.518301,-0.221621,-0.855197,-0.525822,315,300.191622,-225,-315,-236.793429,-315,-122.471192,-135,-0.928476,0.864348,-0.707106,-0.836701,-0.928476,0.536875,-0.447213,0.843661,0.850594,-0.000245,0.014565,0.045374,0,-0.023647,-0.01983,45711.22866,39084.23802,47131.31856,-56365.34483,-121539.9496,-1044.458236,0.004853,-0.014934,0.017795,0.013852,0.015335,0.013112,-0.001729,-0.366787,0.022486,0.026237,0.031698,0.012489,0.019064,0.476268563,1.876386317,0.168605103,1.876386317,NV,NA,NA,NA,NA,NA,NA,NA,NA
8,1168478,123169,483.887085,1,1,V,F,NA,32.588235,30.741367,17.843339,0.075163,1.836951,12.382114,0,10.54,0.06,44,8,0.696078,11.499413,10.35648,23.632,0.637124,0.031915,0.157191,0.538462,0.743729,0.17146,0.20915,0.712418,0.575163,0.336601,0.392606,0.436157,517.37616,654.965162,1153.483598,0.380707,0.789929,0.567042,19.4,1.82,12.11,0,0,5707861,621308,0.068393,29.605708,42.663261,-9.663005,-13.36501,0.349889,13.776322,-16,4.9,-10.6,17.3,967,3,1,24,0,33,0,57,24.3,393,242,33,13.4,-0.243918,-0.636226,0.995893,0.536875,0.611447,-0.97185,-0.213167,333.434948,267.917434,-5.194428,-334.977564,-262.746805,0,-91.301952,-169.695153,0.96637,0.999339,0.090535,-0.991997,0.96637,0.922912,0.707106,0.999741,0.977015,-0.041787,-0.018447,0.109176,0.076227,0.013976,0.032996,-60812.14859,-50821.37399,-87510.59019,240681.9343,-105364.3284,138805.858,-0.008101,-0.036472,0.010484,0.126668,0.049495,0.035414,0.050398,-0.605869,0.04285,0.059115,0.125544,0.012612,0.212987,38.98750544,0.221149738,4.541849465,38.98750544,V,0.003126558,F,NA,NA,NA,NA,NA,NA
9,1172602,123795,324,2,3,NV,NA,NA,15.585185,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.333333,0,0.111111,0.555556,0.666667,0,0,0.87037,0.781481,0.614815,0,0,0,0,0,0,0,0,107.11,0.3,1.34,1,1,5708333,622785,0.003275,27.101805,35.731928,-4.283087,-8.479356,-0.2725,4.753796,-15.9,5.1,-10.4,17.3,955,3,1,24,2,42,0,56,24.4,387,243,44,13.4,0.707106,-0.235702,0.707106,-0.413802,-0.378632,-0.603857,-0.399944,277.765166,236.793429,-315,-283.621216,-241.38954,-285.255118,-109.983106,-135,0.707106,0.836701,-0.707106,-0.877895,0.587961,0.585263,-0.769546,0.939793,0.916539,0.000279,-0.010198,0.0281,-0.001761,-0.020959,-0.030805,41443.52394,-27027.77252,-76375.18673,46498.39903,-140103.488,-6501.208726,0.005626,-0.010544,0.013752,0.016846,0.024798,0.01719,0.033947,-0.441738,0.034402,0.021439,0.036514,0.022251,0.040423,0.465390748,3.64984158,0.09209145,3.64984158,NV,NA,NA,NA,NA,NA,NA,NA,NA
10,1239697,133938,324,1,2,V,NF,HG,47.25,0.209089,0,0,0.043333,10.333333,0,0.09,0.02,59,32,0.030211,2.602,2.074286,47.142857,0.030581,0,0.027523,0.067278,0.073394,0.002994,0,0.969789,0.873112,0.504532,0.444438,0.384622,884.515385,912.884615,2238.123077,0.433482,0.968924,0.37109,124.03,0.59,3.05,1,2,5702613,624464,0.004178,20.466585,34.299705,-37.968741,-42.262105,-1.173074,5.347686,-15.9,5.1,-10.5,17.3,964,3,1,25,4,37,0,57,24.3,385,244,41,13.4,0.235702,0.894427,-0.618215,-0.207504,-0.090535,0.518301,-0.143939,292.249023,248.19859,-231.797937,-290.738412,-248.19859,-289.983106,-105.255118,-74.744881,0.707106,0.928476,-0.78555,-0.928476,0.707106,0.95644,0.596284,0.964763,0.989586,0.008129,0.020908,0.007358,-0.009525,-0.007071,-0.002445,61228.31876,57818.92943,21927.62117,29515.75366,-70585.86651,12769.55812,0.004264,0.014604,0.013403,0.057617,0.049118,0.04495,0.071023,-0.61448,0.029226,0.03935,0.086181,0.068616,0.016459,5.278991233,0.183985142,2.058388515,5.278991233,V,0.981258089,NF,0.217148171,5.910277819,2.355193896,0.262209097,5.910277819,HG
